+-----------+----------------------------+
| school_id | count(DISTINCT student_id) |
+-----------+----------------------------+
|         1 |                        107 |
|         2 |                         65 |
|         3 |                        201 |
|         4 |                         47 |
|         5 |                         71 |
|         6 |                        225 |
|         7 |                         67 |
|         8 |                         18 |
|         9 |                         66 |
|        10 |                         53 |
|        12 |                        217 |
|        13 |                         21 |
|        14 |                         64 |
|        15 |                         20 |
|        16 |                         50 |
|        17 |                         74 |
|        18 |                         61 |
|        19 |                         82 |
|        20 |                         85 |
|        21 |                        101 |
|        22 |                         76 |
|        23 |                         29 |
|        24 |                        339 |
|        25 |                         57 |
|        26 |                         52 |
|        27 |                         50 |
|        28 |                         87 |
|        29 |                        115 |
|        30 |                         51 |
|        31 |                        102 |
|        32 |                        133 |
|        33 |                        140 |
|        34 |                         48 |
|        35 |                         77 |
|        36 |                        281 |
|        37 |                         16 |
|        38 |                         33 |
|        39 |                         29 |
|        40 |                        113 |
|        41 |                         77 |
|        42 |                         21 |
|        43 |                         29 |
|        44 |                        119 |
|        45 |                         82 |
|        46 |                        151 |
|        47 |                         24 |
|        48 |                         65 |
|        49 |                         31 |
|        50 |                         13 |
|        51 |                         40 |
|        52 |                         53 |
|        53 |                          4 |
|        54 |                         37 |
|        55 |                         20 |
|        56 |                         40 |
|        57 |                         26 |
|        58 |                         21 |
|        59 |                         42 |
|        60 |                         19 |
|        61 |                         83 |
|        62 |                          8 |
|        63 |                         16 |
|        64 |                         27 |
|        65 |                         55 |
|        66 |                         67 |
|        67 |                        235 |
|        68 |                         30 |
|        69 |                          4 |
|        70 |                         25 |
|        71 |                         30 |
|        72 |                         27 |
|        73 |                         55 |
|        74 |                         17 |
|        75 |                         16 |
|        76 |                         45 |
|        77 |                        501 |
|        78 |                        112 |
|        79 |                         55 |
|        80 |                         21 |
|        81 |                         65 |
|        82 |                         29 |
|        83 |                          7 |
|        84 |                         27 |
|        85 |                         44 |
|        86 |                         19 |
|        87 |                         36 |
|        88 |                         31 |
|        89 |                          9 |
|        90 |                         30 |
|        91 |                          2 |
|        92 |                         27 |
|        93 |                         56 |
|        94 |                        121 |
|        95 |                         45 |
|        96 |                         35 |
|        97 |                        132 |
|        98 |                         15 |
|        99 |                         32 |
|       100 |                         23 |
|       101 |                         73 |
|       102 |                         82 |
|       103 |                        171 |
|       104 |                         15 |
|       105 |                         37 |
|       106 |                         67 |
|       107 |                        130 |
|       108 |                        274 |
|       110 |                        337 |
|       111 |                        377 |
|       112 |                         50 |
|       113 |                         73 |
|       114 |                         33 |
|       115 |                          3 |
|       116 |                         15 |
|       117 |                         14 |
|       118 |                          1 |
|       119 |                         38 |
|       120 |                         77 |
|       145 |                         69 |
|       146 |                         20 |
