+-----------+---------------+
| school_id | student_count |
+-----------+---------------+
|         1 |          1362 |
|         2 |           336 |
|         3 |           598 |
|         4 |           205 |
|         5 |           341 |
|         6 |          1135 |
|         7 |           831 |
|         8 |           350 |
|         9 |          1031 |
|        10 |           252 |
|        12 |           894 |
|        13 |           376 |
|        14 |           505 |
|        15 |           216 |
|        16 |           232 |
|        17 |           140 |
|        18 |           225 |
|        19 |           183 |
|        20 |           301 |
|        21 |           769 |
|        22 |           432 |
|        23 |           280 |
|        24 |          1339 |
|        25 |           213 |
|        26 |           261 |
|        27 |           324 |
|        28 |           404 |
|        29 |           761 |
|        30 |           275 |
|        31 |           503 |
|        32 |           574 |
|        33 |           626 |
|        34 |           264 |
|        35 |           319 |
|        36 |          1614 |
|        37 |           225 |
|        38 |           128 |
|        39 |           324 |
|        40 |          1017 |
|        41 |           479 |
|        42 |           257 |
|        43 |           218 |
|        44 |          1050 |
|        45 |           678 |
|        46 |           548 |
|        47 |          1214 |
|        48 |           369 |
|        49 |           280 |
|        50 |           229 |
|        51 |           145 |
|        52 |           602 |
|        53 |           143 |
|        54 |           173 |
|        55 |           120 |
|        56 |           277 |
|        57 |           673 |
|        58 |           578 |
|        59 |           308 |
|        60 |           168 |
|        61 |           688 |
|        62 |           280 |
|        63 |           283 |
|        64 |           325 |
|        65 |           544 |
|        66 |           422 |
|        67 |          1311 |
|        68 |           341 |
|        69 |           372 |
|        70 |           185 |
|        71 |           260 |
|        72 |           271 |
|        73 |           353 |
|        74 |           402 |
|        75 |           128 |
|        76 |           206 |
|        77 |          1963 |
|        78 |           786 |
|        79 |           375 |
|        80 |           581 |
|        81 |           501 |
|        82 |           163 |
|        83 |           258 |
|        84 |           638 |
|        85 |           621 |
|        86 |           203 |
|        87 |           861 |
|        88 |           761 |
|        89 |           417 |
|        90 |           996 |
|        91 |           445 |
|        92 |           185 |
|        93 |           499 |
|        94 |           817 |
|        95 |           416 |
|        96 |           652 |
|        97 |           603 |
|        98 |           117 |
|        99 |           401 |
|       100 |           539 |
|       101 |           385 |
|       102 |           535 |
|       103 |           882 |
|       104 |           257 |
|       105 |           249 |
|       106 |           650 |
|       107 |           700 |
|       108 |          1268 |
|       110 |          1536 |
|       111 |          1651 |
|       112 |           263 |
|       113 |           427 |
|       114 |           191 |
|       115 |           331 |
|       116 |           255 |
|       117 |           331 |
|       118 |           424 |
|       119 |           246 |
|       120 |           434 |
|       130 |           926 |
|       136 |            56 |
|       145 |           310 |
|       146 |           204 |
|       163 |          2423 |
